project_name,scenario_name,total_revenue,total_costs_excl_financing,total_interest_and_fees,total_debt_service_for_ratio,total_cfads,total_net_cash_flow,ending_escrow_balance,ending_project_cash_balance,peak_debt,ending_debt,min_dscr,min_iscr,max_liquidity_shortfall,final_effective_rate_annual,collateral_value_net,collateral_coverage_ratio,repaid_at_rvz,debt_fully_repaid
sales_stress,sales_stress_1,876752466.4252379,976071905.6533883,92843494.90724705,777997560.7718498,-99319439.22815023,3.14321368932724e-08,0.0,0.0,812395542.0,127241476.13539732,1.2457313751416883,114.82612717423171,170210438.22050306,0.058147637738283436,1244656000.0,1.3749473335268134,True,False
sales_stress,sales_stress_2,809497499.0683293,972372882.4487581,123811177.06431393,720447214.1399741,-162875383.38042888,5.587935447692871e-09,0.0,0.0,812395542.0,221765102.44474292,0.6228802386297999,0.666584717862134,168740520.97906622,0.08553039281294368,1244656000.0,1.3294670660385388,True,False
sales_stress,sales_stress_3,881907174.070403,976355414.5738722,95315399.33680479,782868759.4965307,-94448240.5034694,-4.0512531995773315e-08,0.0,0.0,812395542.0,124842181.8402741,1.2488198298871105,115.50953309653552,172946706.22844806,0.05969866301757337,1244656000.0,1.3712030375738,True,False
sales_stress,sales_stress_4,924438592.2461078,978694642.573536,83014713.87859908,823060949.6725718,-54256050.327428296,1.7695128917694092e-08,0.0,0.0,812395542.0,72349306.2060273,1.0,1.8214389570582874,145501118.65479234,0.05876143634616571,1244656000.0,1.3900399194989255,True,False
sales_stress,sales_stress_5,956070678.1348128,980434407.2974149,78932546.48150834,852953270.8373982,-24363729.162601862,-5.681067705154419e-08,0.0,0.0,812395542.0,38374817.64411009,1.0,3.4761526010794235,144616012.95685518,0.056147864833036576,1244656000.0,1.3964061225989535,True,False
sales_stress,sales_stress_6,868149890.1858649,975598763.9602226,98423382.91830324,769868126.2256423,-107448873.77435777,1.5832483768463135e-08,0.0,0.0,812395542.0,140950798.69266093,1.2583129592459115,113.69024746370205,175384012.35675308,0.061604376807783925,1244656000.0,1.3665240872236384,True,False
sales_stress,sales_stress_7,887342323.6243517,976654347.7993394,99587025.70752867,788004975.8250123,-89312024.17498758,-3.166496753692627e-08,0.0,0.0,812395542.0,123977591.88251632,1.0,1.1731544805057488,156111192.97227275,0.06985627801080678,1244656000.0,1.3647804728644322,True,False
sales_stress,sales_stress_8,973947342.3212259,983300053.4510572,75310338.4962999,867964288.8701689,-9352711.129831044,6.193295121192932e-08,0.0,0.0,812395542.0,19741591.62613094,1.197403376438003,127.50074547024859,157955985.16341737,0.04716248894999945,1244656000.0,1.402104038450366,True,False
sales_stress,sales_stress_9,872855430.1974196,975857568.6608582,104294178.0360099,774775969.7818997,-103002138.46343859,9.359791874885559e-08,0.0,0.0,812395542.0,142374858.49944848,0.9601325918169845,1.0685322147510568,158566801.38245282,0.07295597988535156,1244656000.0,1.3577723986597197,True,False
sales_stress,sales_stress_10,882499235.9425156,976387977.9768385,101445653.5118543,783428257.9656771,-93888742.03432283,1.7695128917694092e-08,0.0,0.0,812395542.0,130412937.54617715,1.2596886169527983,115.58101055947822,179054590.6776462,0.06347060828714549,1244656000.0,1.3620046963442616,True,False
