project_name,scenario_name,total_revenue,total_costs_excl_financing,total_interest_and_fees,total_debt_service_for_ratio,total_cfads,total_net_cash_flow,ending_escrow_balance,ending_project_cash_balance,peak_debt,ending_debt,min_dscr,min_iscr,max_liquidity_shortfall,final_effective_rate_annual,collateral_value_net,collateral_coverage_ratio,repaid_at_rvz,debt_fully_repaid
balanced_base,balanced_base_1,1944994866.516076,1199659274.1233718,51826083.64852335,812661945.6485233,745335592.3927042,754310646.7441807,0.0,754310646.7441806,760835862.0,0.0,2.20311826001881,240.3780652890794,161581050.42332733,0.03919200697599403,1306888800.0,1.6081579886911919,True,True
balanced_base,balanced_base_2,1918326271.6071005,1191367053.0870414,57900260.36236564,818736122.3623656,726959218.520059,729860096.1576934,0.0,729860096.1576934,760835862.0,0.0,2.1715898889223406,236.93806436701325,169772842.21922067,0.03828922353016245,1306888800.0,1.5962271167774154,True,True
balanced_base,balanced_base_3,2019303923.6937737,1221023128.06196,51886911.313285396,812722773.3132854,798280795.6318139,807195022.3185285,0.0,807195022.3185285,760835862.0,0.0,2.2769073010291163,248.4290479528255,165357330.94697407,0.039181683486067403,1306888800.0,1.6080376272367913,True,True
balanced_base,balanced_base_4,2189343806.6053395,1269909594.399035,52083054.385747105,812918916.3857471,919434212.2063041,928152295.820557,0.0,928152295.820557,760835862.0,0.0,2.4457572416702,266.85194553034046,174055468.16501403,0.03914859560178941,1306888800.0,1.6076496359691719,True,True
balanced_base,balanced_base_5,2063203963.8095527,1233019389.5952463,58026475.23538166,818862337.2353817,830184574.2143061,832959236.9789243,0.0,832959236.9789243,760835862.0,0.0,2.3154537243339646,252.6347752739518,177142941.70235944,0.0382728620595524,1306888800.0,1.5959810832334513,True,True
balanced_base,balanced_base_6,1989793534.9481099,1211913891.2975817,57981563.032103546,818817425.0321035,777879643.6505282,780699218.6184248,0.0,780699218.6184247,760835862.0,0.0,2.2425570230222043,244.68115410650378,173427508.05600905,0.038278674347084186,1306888800.0,1.596068622927462,True,True
balanced_base,balanced_base_7,2125678966.725136,1251605952.9334767,52158520.18916942,812994382.1891694,874073013.7916595,882715631.6024901,0.0,882715631.6024901,760835862.0,0.0,2.382537929526312,259.95420598642494,170947691.97442627,0.03913594615513879,1306888800.0,1.6075004066828964,True,True
balanced_base,balanced_base_8,2062481332.2919462,1232811633.0339346,58021789.73585362,818857651.7358537,829669699.2580116,832449047.5221579,0.0,832449047.5221579,760835862.0,0.0,2.3147361498051895,252.5564820746906,177102124.62695098,0.03827346792802222,1306888800.0,1.5959902154295005,True,True
balanced_base,balanced_base_9,2068918657.606784,1234662364.0619504,58147399.43434758,818983261.4343476,834256293.5448335,836910032.1104859,0.0,836910032.1104863,760835862.0,0.0,2.3211284265974705,253.2539313019997,177549600.59118688,0.038257266081562546,1306888800.0,1.5957454340533728,True,True
balanced_base,balanced_base_10,2155624190.594495,1260215204.7959173,52044254.73820178,812880116.7382017,895408985.7985777,904165869.0603758,0.0,904165869.0603758,760835862.0,0.0,2.412273596160797,263.19860831624703,172330687.71692657,0.03915511660267922,1306888800.0,1.6077263708258471,True,True
balanced_base,balanced_base_11,2143405461.9658856,1256702320.3151922,52181299.899139255,813017161.8991393,886703141.6506939,895322979.7515546,0.0,895322979.7515546,760835862.0,0.0,2.4001403744229117,261.8747754471702,171856796.44643354,0.03913213665104906,1306888800.0,1.6074553665598132,True,True
balanced_base,balanced_base_12,1904017621.1251123,1187878316.0734699,51844559.80584892,812680421.805849,716139305.0516424,725095883.2457935,0.0,725095883.2457935,760835862.0,0.0,2.162427774154986,235.93840335847779,159550664.3111046,0.03918886812064618,1306888800.0,1.6081214274806517,True,True
balanced_base,balanced_base_13,2230319153.661717,1281065006.6777437,58359831.61387402,819195693.6138741,949254146.9839733,951695453.3700993,0.0,951695453.3700993,760835862.0,0.0,2.481399438972199,270.7407982467775,185832057.5734599,0.03823005499759938,1306888800.0,1.5953316285571186,True,True
balanced_base,balanced_base_14,2053678373.8970504,1230280782.495402,58083237.15352863,818919099.1535287,823397591.4016483,826115492.2481198,0.0,826115492.2481198,760835862.0,0.0,2.3059947946772454,251.60272935437948,176723424.12488112,0.03826553162432329,1306888800.0,1.5958704606485044,True,True
balanced_base,balanced_base_15,2149710925.7687535,1258515141.1585166,52143990.88868165,812979852.8886817,891195784.6102363,899852931.7215545,0.0,899852931.7215546,760835862.0,0.0,2.4064017124725403,262.5579381959904,172134760.62611946,0.039138378050299176,1306888800.0,1.6075291353855328,True,True
balanced_base,balanced_base_16,1902396031.0761716,1186787108.9343994,57893650.15318316,818729512.1531832,715608922.1417722,718516409.988589,0.0,718516409.988589,760835862.0,0.0,2.1557711285116175,235.21210934598378,168969719.9834917,0.038290082776378416,1306888800.0,1.5962400043000804,True,True
balanced_base,balanced_base_17,2106492262.7325225,1245464775.5356002,58077885.8346746,818913747.8346746,861027487.1969222,863750739.3622475,0.0,863750739.3622475,760835862.0,0.0,2.3584390909340955,257.3248273000255,179358767.24780086,0.03826622198105604,1306888800.0,1.595880889111462,True,True
balanced_base,balanced_base_18,2073154628.9230764,1236505205.8153844,51971841.08306089,812807703.0830609,836649423.1076921,845478720.0246311,0.0,845478720.0246311,760835862.0,0.0,2.3303811580193448,254.26347932227287,168134795.97821474,0.03916731893783345,1306888800.0,1.6078696043883935,True,True
balanced_base,balanced_base_19,2224406772.761836,1279365197.1690278,58169330.78428742,819005192.7842875,945041575.5928082,947673382.8085208,0.0,947673382.8085208,760835862.0,0.0,2.4755284330240737,270.1002238950861,185345937.69887927,0.03825444582994507,1306888800.0,1.5957027031258557,True,True
balanced_base,balanced_base_20,2153007552.772433,1259462921.4220743,51992841.64392607,812828703.6439261,893544631.3503579,902352927.7064319,0.0,902352927.7064317,760835862.0,0.0,2.4096752696189925,262.9151098230236,172148442.73154774,0.03916377587668134,1306888800.0,1.6078280628393085,True,True
balanced_base,balanced_base_21,2077965279.4322228,1237263267.836764,58101507.78147088,818937369.7814709,840702011.5954586,843401641.8139877,0.0,843401641.8139877,760835862.0,0.0,2.330111739994728,254.23408363131674,177956040.02958205,0.038263175734200065,1306888800.0,1.5958348565150182,True,True
